Company Name,Ticker,Market,Multiple Engagements,Governance,Proxy Contest/M&A,Pay,ES,Letter,Comprehensive Engagement,Year,Quarter,Dissident
Platinum Ltd.,,Africa,0,0,0,0,0,,,2017,,
Amcor Limited,,Australia,0,1,0,1,1,,,2014,,
Aurizon Holdings Limited,,Australia,0,0,0,1,0,,,2014,,
Automotive Holdings Group Limited,,Australia,0,1,0,1,1,,,2014,,
Bendigo and Adelaide Bank Limited,,Australia,0,1,0,1,0,,,2014,,
BlueScope Steel Limited,,Australia,0,1,0,1,1,,,2014,,
Brambles Limited,,Australia,1,1,0,1,1,,,2014,,
Cabcharge Australia Limited,,Australia,0,1,0,1,0,,,2014,,
CFS Retail Property Trust,,Australia,0,1,0,1,0,,,2014,,
Cochlear Limited,,Australia,0,1,0,1,1,,,2014,,
CommonWealth Bank of Australia,,Australia,0,1,0,1,0,,,2014,,
Crown Resorts Limited,,Australia,0,1,0,1,0,,,2014,,
CSL Ltd.,,Australia,0,1,0,1,1,,,2014,,
Domino's Pizza Enterprises Ltd.,,Australia,0,0,0,1,0,,,2014,,
Fairfax Media Limited,,Australia,1,1,0,1,0,,,2014,,
Mayne Pharma Group Limited,,Australia,0,0,0,1,0,,,2014,,
Metcash Limited,,Australia,0,1,0,1,1,,,2014,,
National Australia Bank Limited,,Australia,0,0,0,1,0,,,2014,,
Orica Limited,,Australia,1,1,0,1,1,,,2014,,
Origin Energy Limited,,Australia,0,1,0,1,1,,,2014,,
Platinum Asset Management Limited,,Australia,0,1,0,1,0,,,2014,,
Roc Oil Company Limited,,Australia,0,1,1,0,0,,,2014,,
Roc Oil Company Limited ,,Australia,0,1,1,0,0,,,2014,,Allan Gray
Seven Group Holdings Limited,,Australia,0,1,0,1,1,,,2014,,
Southern Cross Media Group Limited,,Australia,0,1,0,1,0,,,2014,,
Sundance Resources Limited,,Australia,0,1,0,1,1,,,2014,,
Tatts Group Limited,,Australia,0,1,0,1,1,,,2014,,
Transfield Services Limited,,Australia,0,1,0,0,1,,,2014,,
Wesfarmers Limited,,Australia,0,1,0,1,1,,,2014,,
Woodside Petroleum Ltd.,,Australia,0,1,0,0,0,,,2014,,
Amcor Limited,,Australia,0,1,0,1,1,,,2015,,
Aurizon Holdings Ltd.,,Australia,0,1,0,1,1,,,2015,,
Australia and New Zealand Banking Group Ltd.,,Australia,0,0,0,1,1,,,2015,,
Beach Energy Ltd.,,Australia,0,1,0,1,1,,,2015,,
Bendigo & Adelaide Bank,,Australia,0,1,0,0,1,,,2015,,
BlueScope Steel,,Australia,1,1,0,1,0,,,2015,,
Computershare Limited,,Australia,0,1,0,1,1,,,2015,,
Crown Resorts Ltd.,,Australia,0,1,0,1,1,,,2015,,
Domino's Pizza Enterprises Ltd.,,Australia,0,1,0,1,0,,,2015,,
Fairfax Media Ltd.,,Australia,0,1,0,1,0,,,2015,,
Federation Centres Ltd.,,Australia,0,1,0,0,1,,,2015,,
Flight Centre Ltd.,,Australia,0,1,0,1,0,,,2015,,
Fortescue Metals Group Ltd.,,Australia,0,1,0,1,1,,,2015,,
Goodman Group,,Australia,0,1,0,1,1,,,2015,,
GrainCorp Ltd.,,Australia,0,1,0,1,1,,,2015,,
Hills Ltd.,,Australia,0,1,0,1,0,,,2015,,
Macquarie Group Limited,,Australia,0,1,0,1,0,,,2015,,
Newcrest Mining Ltd.,,Australia,0,1,0,0,0,,,2015,,
Northern Star Resources,,Australia,0,1,0,1,1,,,2015,,
Origin Energy Ltd.,,Australia,0,1,0,1,1,,,2015,,
Sonic Healthcare Limited,,Australia,0,1,0,0,1,,,2015,,
South32,,Australia,1,1,0,1,1,,,2015,,
Super Retail Group Ltd.,,Australia,0,1,0,0,0,,,2015,,
Tabcorp Holdings Ltd.,,Australia,0,1,0,1,1,,,2015,,
Tatts Group Ltd.,,Australia,0,1,0,1,1,,,2015,,
Transfield Services Ltd.,,Australia,0,1,0,0,1,,,2015,,
Transpacific Industries Ltd.,,Australia,0,1,0,1,1,,,2015,,
"Treasury Wine Estates, Ltd.",,Australia,0,1,0,1,1,,,2015,,
Westpac Banking Corporation,,Australia,0,1,0,1,0,,,2015,,
Woolworths Ltd.,,Australia,0,1,0,1,0,,,2015,,
AGL Energy Ltd.,,Australia,0,1,0,1,1,,,2016,,
Amcor Ltd.,,Australia,0,1,0,1,1,,,2016,,
"Aurizon Holdings, Ltd.",,Australia,0,1,0,1,0,,,2016,,
AusNet Services,,Australia,0,1,0,1,1,,,2016,,
Australia and New Zealand Banking Group Ltd.,,Australia,0,1,0,1,0,,,2016,,
BlueScope Steel,,Australia,0,1,0,1,0,,,2016,,
Boral Ltd.,,Australia,0,1,0,1,0,,,2016,,
Brambles Ltd.,,Australia,0,1,0,1,1,,,2016,,
Commonwealth Bank of Australia,,Australia,1,1,0,1,1,,,2016,,
CSL Ltd.,,Australia,0,1,0,1,0,,,2016,,
Fairfax Media Ltd.,,Australia,0,1,0,1,0,,,2016,,
Goodman Group Ltd.,,Australia,0,1,0,1,0,,,2016,,
ImpediMed Ltd.,,Australia,0,1,0,1,0,,,2016,,
James Hardie plc,,Australia,1,1,0,1,0,,,2016,,
Macquarie Group Limited,,Australia,0,1,0,1,0,,,2016,,
Magellan Financial Group,,Australia,0,1,0,1,0,,,2016,,
Metcash Ltd.,,Australia,0,1,0,1,0,,,2016,,
Newcrest Mining,,Australia,1,1,0,1,1,,,2016,,
Nine Entertainment Ltd.,,Australia,0,1,0,0,1,,,2016,,
Orica Ltd.,,Australia,0,1,0,1,1,,,2016,,
"Origin Energy, Ltd.",,Australia,0,1,0,1,1,,,2016,,
Seek Ltd.,,Australia,0,1,0,1,0,,,2016,,
South32 Ltd.,,Australia,0,1,0,1,1,,,2016,,
"Ten Network Holdings, Ltd.",,Australia,0,1,0,1,0,,,2016,,
"Treasury Wine Estates, Ltd.",,Australia,0,1,0,1,1,,,2016,,
Vicinity Centres,,Australia,0,1,0,0,1,,,2016,,
Wesfarmers Ltd.,,Australia,0,1,0,1,0,,,2016,,
Woodside Petroleum,,Australia,0,0,0,1,0,,,2016,,
"Woolworths, Ltd.",,Australia,0,1,0,1,0,,,2016,,
AGL Energy Ltd.,,Australia,1,1,0,1,1,,,2017,,
Amcor Limited,,Australia,0,0,0,1,1,,,2017,,
Ardent Leisure Group,,Australia,0,1,0,1,0,,,2017,,
ASX Limited,,Australia,0,1,0,0,0,,,2017,,
AusNet Services,,Australia,0,1,0,1,0,,,2017,,
Bendigo and Adelaide Bank Ltd.,,Australia,0,1,0,0,1,,,2017,,
BlueScope Steel Ltd.,,Australia,0,1,0,1,1,,,2017,,
Commonwealth Bank of Australia,,Australia,0,1,0,1,1,,,2017,,
Domino's Pizza Enterprises Ltd.,,Australia,0,0,0,1,0,,,2017,,
Fairfax Media Ltd.,,Australia,0,1,0,0,0,,,2017,,
Goodman Group Ltd.,,Australia,0,1,0,1,0,,,2017,,
Healthscope Ltd,,Australia,0,1,0,0,0,,,2017,,
Industria REIT,,Australia,0,1,0,0,1,,,2017,,
Insurance Australia Group Ltd.,,Australia,0,0,0,0,1,,,2017,,
Investa Office Fund,,Australia,0,1,0,0,0,,,2017,,
James Hardie Industries plc,,Australia,0,1,0,1,1,,,2017,,
Macquarie Group Limited,,Australia,0,1,0,1,0,,,2017,,
Newcrest Mining Limited,,Australia,0,0,0,1,1,,,2017,,
Oil Search Ltd.,,Australia,0,0,0,0,1,,,2017,,
Orica Ltd.,,Australia,1,1,0,1,0,,,2017,,
Origin Energy Ltd.,,Australia,0,0,0,0,1,,,2017,,
Primary Health Care Ltd.,,Australia,0,1,0,1,0,,,2017,,
Ramsay Health Care Ltd.,,Australia,0,1,0,1,0,,,2017,,
REA Group Limited,,Australia,0,1,0,0,0,,,2017,,
Santos Ltd.,,Australia,0,0,0,0,1,,,2017,,
SCA Property Group,,Australia,0,1,0,0,1,,,2017,,
South32 Limited,,Australia,0,1,0,1,1,,,2017,,
Suncorp,,Australia,0,1,0,0,1,,,2017,,
