,Parameters,Parameter z-values,Marginal Effects,Marginal Effects z-values,Marginal Effects p-values,Significance,Pseudo-rsquared,Number of observations
const,1.6480223618189307,9.064060838203439,,,,,0.14345152905602387,1867
engaged_0year,-0.0407285407117314,-0.551038120320035,-0.012533369855849437,-0.5576339537925442,0.5770943660236421,,0.14345152905602387,1867
Multiple Engagements,-0.19036359559901503,-2.2940905779291834,-0.05858047720439384,-2.1913531039321787,0.028426249950287086,**,0.14345152905602387,1867
portfolio_weight,-63.87057059065748,-5.902962606774018,-19.654853086505778,-5.5417533377014045,2.99457935737164e-08,***,0.14345152905602387,1867
ownership_stake,-6.224204134142906,-2.181192512318135,-1.9153706739375067,-2.1363477173259793,0.0326510821802687,**,0.14345152905602387,1867
excess_return,-3.066476467061595,-1.6035129701266306,-0.9436449979380479,-1.6277881582291922,0.10356981231050694,,0.14345152905602387,1867
CBOARD,0.2300609261577004,2.1823640295969344,0.07079651336693199,2.2065514627200598,0.027345411118212936,**,0.14345152905602387,1867
DUALCLASS,0.6964248238599087,1.6210251361500898,0.2143104010529126,1.6166018857984663,0.10596424459253491,,0.14345152905602387,1867
FAIRPRICE,-0.07959140325614267,-0.8041736392650923,-0.024492615667616166,-0.797755033028458,0.42501266071584953,,0.14345152905602387,1867
GPARACHUTE,-0.43623960999838424,-5.333376920365945,-0.13424375836540584,-5.502931308947794,3.735279839978762e-08,***,0.14345152905602387,1867
LSPMT,-0.4446410708295917,-5.958758171133739,-0.13682913496095436,-6.21645734783933,5.085045202665042e-10,***,0.14345152905602387,1867
PPILL,0.13959022520464126,0.8573008311821029,0.042956017823814426,0.8583845332034882,0.39068016524545357,,0.14345152905602387,1867
UNEQVOTE,-0.46532938939491986,-1.090277811785377,-0.14319553905360596,-1.0882019541284569,0.2765059622570869,,0.14345152905602387,1867
majority_vote,-0.8123949617435978,-8.582710473257842,-0.24999782331087406,-8.151441256607894,3.5961235519681006e-16,***,0.14345152905602387,1867
Shareholder,-0.23289510786045547,-3.078259961966304,-0.07166867443380466,-3.1685686932529373,0.0015319154303778863,***,0.14345152905602387,1867
