,Parameters,Parameter z-values,Marginal Effects,Marginal Effects z-values,Marginal Effects p-values,Significance,Pseudo-rsquared,Number of observations
const,-1.6613385198328887,-9.145371564452274,,,,,0.14306636786999605,1867
engaged_0year,0.03510463493586838,0.4747763591415119,0.010781748720923707,0.47969341041795804,0.6314454142095953,,0.14306636786999605,1867
Multiple Engagements,0.15942764686029987,1.9286443816150933,0.04896529562993998,1.8559346425851269,0.06346287441828881,*,0.14306636786999605,1867
portfolio_weight,63.72741085087176,5.896726201661394,19.57271259719396,5.535342615736469,3.1062054979564865e-08,***,0.14306636786999605,1867
ownership_stake,5.987302182654155,2.1051788114341368,1.8388907267529255,2.063569879480366,0.03905851589504478,**,0.14306636786999605,1867
excess_return,2.950615502187347,1.5603053477523834,0.9062277666400446,1.5831312959734565,0.11339154178076115,,0.14306636786999605,1867
CBOARD,-0.23963857974198974,-2.273810818751757,-0.0736006215514646,-2.2998507231992713,0.021456678634445593,**,0.14306636786999605,1867
DUALCLASS,-0.6897457077573091,-1.6105631498574815,-0.21184282121038456,-1.6062270402139571,0.10822403417742758,,0.14306636786999605,1867
FAIRPRICE,0.0940164578364093,0.9499231675067298,0.028875441259403847,0.9408592341982979,0.34677700085702523,,0.14306636786999605,1867
GPARACHUTE,0.4308905539212545,5.272254377916569,0.132340179212397,5.4394597953153685,5.3442367333860806e-08,***,0.14306636786999605,1867
LSPMT,0.45582579154186703,6.113216537925924,0.13999858291928963,6.378450165191972,1.7888903494144738e-10,***,0.14306636786999605,1867
PPILL,-0.13490968013877314,-0.828772383178902,-0.04143504907354087,-0.829819441496286,0.40664087709080965,,0.14306636786999605,1867
UNEQVOTE,0.46435300745356783,1.0915121848692515,0.14261756184947877,1.0894359221764616,0.2759616976001965,,0.14306636786999605,1867
majority_vote,0.7994282911449657,8.444823440927703,0.2455298273652093,8.03421091319864,9.418306135339094e-16,***,0.14306636786999605,1867
Shareholder,0.27348302816063413,3.624147419484069,0.08399532695474587,3.7433165252012293,0.00018160722254305397,***,0.14306636786999605,1867
