,Parameters,Parameter z-values,Marginal Effects,Marginal Effects z-values,Marginal Effects p-values,Significance,Pseudo-rsquared,Number of observations
const,-1.7138621498993043,-9.353651389628341,,,,,0.1457017014133073,1866
engaged_0year,0.045255564532203287,0.6103720742236028,0.013729483232633465,0.6187761279712224,0.536063850602738,,0.1457017014133073,1866
Multiple Engagements,0.15250168993742355,1.8415702554738038,0.04626545744345371,1.773159177464507,0.07620233434619957,*,0.1457017014133073,1866
portfolio_weight,62.36125314507471,5.748263632957561,18.91895037155181,5.391152250146448,7.000732823534908e-08,***,0.1457017014133073,1866
ownership_stake,6.071368915575794,2.126898562929883,1.8419117866978385,2.083311930784787,0.037222799936560955,**,0.1457017014133073,1866
Shareholder,0.2764778662096509,3.6557334285199676,0.08387693905836856,3.777805747536549,0.00015821620705167968,***,0.1457017014133073,1866
excess_return,2.9924815136431766,1.5811731048182185,0.9078491272889521,1.604877425014522,0.10852078255751271,,0.1457017014133073,1866
ROA,0.5983791654220332,1.7970534087488539,0.1815342887297983,1.8031595562970857,0.0713631600851528,*,0.1457017014133073,1866
CBOARD,-0.25278696672053014,-2.393409836147545,-0.07668967246112095,-2.423032792708181,0.015391537227092023,**,0.1457017014133073,1866
DUALCLASS,-0.6806716863025742,-1.6112362922775727,-0.20649992107312157,-1.6065076576851018,0.10816241377327669,,0.1457017014133073,1866
FAIRPRICE,0.08226151514839504,0.8289820169588836,0.02495622592702917,0.8218358224611758,0.4111703427918898,,0.1457017014133073,1866
GPARACHUTE,0.4401806255658167,5.364997942740636,0.13354053983208067,5.543246202914432,2.9691491550782544e-08,***,0.1457017014133073,1866
LSPMT,0.45801815994236583,6.141656681072348,0.13895203191412256,6.409193515829486,1.4629141259732305e-10,***,0.1457017014133073,1866
PPILL,-0.1207937628748481,-0.7409797449779651,-0.036646011581996894,-0.7417730187923005,0.45822487054375305,,0.1457017014133073,1866
UNEQVOTE,0.44476466294866773,1.0600536186980376,0.13493122990602358,1.0579001688973975,0.2901009581906291,,0.1457017014133073,1866
majority_vote,0.8137834643592075,8.580078106343748,0.2468829312904421,8.136183958536868,4.0793182550775157e-16,***,0.1457017014133073,1866
